login_name,contributions
tensorflower-gardener,51010
ezhulenev,2033
mihaimaruseac,1536
akuegel,1459
hawkinsp,1448
yongtang,1448
gunan,1347
caisq,1251
mrry,1222
cheshire,1161
roserg,1131
benoitsteiner,1046
jpienaar,997
qlzh727,941
d0k,920
River707,887
joker-eph,881
martinwicke,801
yifeif,788
pifon2a,775
chsigg,712
allenlavoie,709
smit-hinsu,699
jreiffers,671
jsimsa,668
yangustc07,649
ebrevdo,635
alextp,628
klucke,614
annarev,605
MarkDaoust,595
jurahul,536
reedwm,532
skye,531
ddunl,525
andyly,518
advaitjain,509
aaudiber,497
karimnosseir,486
majnemer,474
aaroey,468
jaingaurav,446
rchao,445
fergushenderson,444
fchollet,440
deven-amd,438
nouiz,436
asimshankar,436
jdduke,435
bixia1,432
terryheo,427
antiagainst,416
angerson,413
rohan100jain,404
k-w-w,404
kaixih,401
abattery,399
frgossen,394
bhack,392
lrdxgm,384
olegshyshkov,381
cky9301,378
yunxing,377
feihugis,375
ilblackdragon,374
liufengdb,371
trevor-m,367
petewarden,365
jblespiau,362
edloper,359
thaink,343
dansuh17,340
timshen91,337
faizan-m,335
renjie-liu,330
yashk2810,329
pavithrasv,324
crccw,324
LukeBoyer,322
saxenasaurabh,322
ukoxyz,322
ftynse,319
tpopp,318
kenfranko,312
blakehechtman,304
terrytangyuan,304
haozha111,300
cantonios,299
tanzhenyu,297
multiverse-tf,297
miaout17,295
fionalang,286
anlunx,285
rjpower,285
kvignesh1420,280
mpcallanan,278
berkinilbeyi,275
jam14j,272
bmzhao,269
jianlijianli,267
facaiy,261
beckerhe,259
andrewharp,259
changm,254
vnghia,252
jbaiocchi,251
benbarsdell,248
teijeong,246
bchetioui,246
BrianWieder,242
haoyuz,241
superbobry,237
aselle,236
frreiss,236
rxsang,234
mahmoud-abuzaina,231
tyb0807,226
omalleyt12,221
qqfish,220
alankelly,217
Maratyszcza,217
ispirmustafa,211
nairb774,207
chr1sj0nes,206
penpornk,203
wwwind,202
hyeygit,202
bjacob,201
qukhan,200
lattner,198
SamuelMarks,192
tfeher,190
freedomtan,190
iganichev,189
jart,189
ghpvnist,186
gzmkl,183
pschuh,181
sun51,179
wilsingosti,178
dubey,178
cota,178
lamberta,177
matthiaskramm,176
wangpengmit,176
lgeiger,175
meheffernan,175
hanbinyoon,174
gmagogsfm,174
chuanhaozhuge,172
mgester,168
saeta,166
langmore,164
girving,163
teamdandelion,162
gribozavr,160
samikama,159
pak-laura,158
Tessil,158
sdasgup3,157
tg-at-google,157
MeghnaNatraj,156
tdanyluk,156
sirakiin,154
JXRiver,149
dnguyen28061,146
rsuderman,146
jayxiaojieshi,145
er91,145
trentlo,145
zhangyujing,144
mdfaijul,144
WindQAQ,142
GleasonK,142
sagunb,142
siju-samuel,141
GMNGeoffrey,141
nitins17,141
yhliang2018,141
bhavani-subramanian,140
cliveverghese,139
guptapriya,139
tomhennigan,137
philipphack,136
sergachev,136
agramesh1,134
wenscarl,133
elfringham,133
impjdi,133
mansnils,131
thomasjoerg,129
dimitar-asenov,128
isaprykin,128
rdzhabarov,128
rryan,127
deqiangc,127
wangtz,127
w-xinyi,125
shashishekhar,125
SeeForTwo,125
changhuilin,125
yishuangP,124
shivaniag,124
nluehr,124
josh11b,123
keveman,122
sergeykozub,122
SandSnip3r,122
nammbash,122
cezheng,121
PatriceVignola,120
golechwierowicz,118
meteorcloudy,117
talumbau,117
akshayka,117
nhasabni,116
yair-ehrenwald,116
ishark,115
mikedelorimier,115
whchung,115
yuanbyu,115
mkuperst,112
kushanam,111
henrytansetiawan,111
kkimdev,111
kttian,108
trisolaran,108
ckkuang,107
dimvar,107
liyunlu0618,107
jalexstark,105
AspirinSJL,105
Tongfei-Guo,105
grantjensen,104
ZixuanJiang,104
atondwal,103
itsmeolivia,103
rainwoodman,103
rmlarsen,102
gflegar,102
BlaziusMaximus,101
wenxizhu,100
Terranlee,98
silvasean,98
jcai19,97
hyeontaek,96
zhangqiaorjc,96
jzhoulon,95
daverim,94
hhb,94
sukritiramesh,94
ManHyuk,93
kayzhu,93
swachhandl,92
zheng-xq,91
Moerafaat,89
pkanwar23,89
duncanriach,89
mattn,89
chhe7,89
chococigar,87
junwhanahn,86
sngyhan,86
gaurides,85
claynerobison,85
xingyu-long,84
Srini511,84
gharibian,82
mattdangerw,81
yisitu,81
Adam-Banas,80
davidsoergel,80
hyouklee,80
fdxmw,80
gnecula,79
nfelt,79
lu-wang-g,78
vincentvanhoucke,78
jingpu,77
jtkeeling,77
brianwa84,77
cdleary,77
sguada,76
kuym,76
slackito,76
protoget,76
jerryyin,74
jenselofsson,74
ashahba,74
aartbik,74
i-chaochen,73
chenmoneygithub,73
AyanmoI,73
jhseu,73
kun-lu20,73
sjamesr,73
rsun-bdti,71
ChiaHungDuan,71
MichaelHudgins,71
guizili0,71
ICGog,70
eliben,70
ashutosh1919,69
Artem-B,68
rocketas,68
tatatodd,68
ddavis-2015,68
jakeharmon8,67
sparc1998,67
perfinion,66
Tixxx,66
jjsjann123,65
azazhu,65
srvasude,65
patriklaurell,65
njeffrie,65
lucarfox,63
rongjiecomputer,63
zhuzilin,63
ashwinmurthy,63
bloops,63
vamsimanchala,62
hanhanW,60
MattConley,60
panzhufeng,60
rohitju,59
galarragas,59
bondhugula,59
drpngx,59
pizzud,59
MaskRay,59
LionOfJewdah,59
apivovarov,58
loislo,58
rsanthanam-amd,58
pemeliya,58
pineapplejuice233,57
michaelbanfield,57
dlibenzi,57
cuixiaom,56
itaiz-google,55
khanhlvg,55
tamaranorman,55
jiawenhao,55
ngzhian,55
mingmingl-llvm,54
amitsabne1,54
doyeonkim0,54
jinliangwei,54
kanglant,54
jonas-eschle,54
ashraf-bhuiyan,53
tayo,53
durin42,53
zzzaries,53
JunyoungLim,51
jonathanchu33,51
tatianashp,51
georgepaw,50
jendap,50
ekuznetsov139,50
agrue,50
poulsbo,49
alinas,49
jsmeredith,48
sherrym,48
SiqiaoWu1993,48
vinuraja,48
rahul-kamat,47
concretevitamin,47
vbardiovskyg,47
jvishnuvardhan,47
tlongeri,47
rahul003,47
jimlinntu,47
draganmladjenovic,47
lindong28,47
ccrusius,47
mooskagh,47
zichuan-wei,46
vwbaker,46
shraiysh,46
SaoirseARM,46
samatbryan,46
jszaday,46
ashishenoyp,46
toponado-zz,45
yimeisun123,45
quoctruong,45
tf-marissaw,45
hehhjiang,45
dellis23,45
bartchr808,45
arfaian,45
Flamefire,45
voutcn,44
fhoushmand,44
geetachavan1,44
RenatoUtsch,44
tomnatan30,43
subhankarshah,43
kmh4321,43
doehyun,43
rinugun,43
adriangb,43
alanyee,42
jeffreyadean,42
